RF_runs_num,R2_train,RMSE_train,R2_test,RMSE_test
0,0.7132725925140228,0.22949911767479494,0.351382475760442,0.36019126981048694
1,0.8782215077480696,0.15021349293753739,0.4695202318798901,0.31103331063853823
2,0.8713852265416979,0.15240197190721855,0.6367070419957311,0.28661973223881165
3,0.8749254009202434,0.15286817707187064,0.5685221275819496,0.2730385008322849
4,0.8707587740831396,0.1544520092194544,0.48314435199709627,0.3159678111808785
5,0.8694847815639025,0.15555522792740425,0.6171942156211586,0.2666036535699859
6,0.8741309480279212,0.1532176889183881,0.5337831813072806,0.2814193037663562
7,0.8736813812223052,0.15372748286819773,0.44325324616823414,0.3075473485937005
8,0.8694955848268853,0.15579602240335677,0.6005010336051315,0.26726848489769606
9,0.8811728138440286,0.14829586034338058,0.5063231070665435,0.3020575968011567
