RF_runs_num,R2_train,RMSE_train,R2_test,RMSE_test
0,0.8761045702186352,2.981534600297317,0.49875111814245654,5.23041822954075
1,0.8702976614401216,2.879012184689577,0.2132131394794654,9.902335289374292
2,0.8711106403787058,2.9338106608069503,0.2871397219959212,8.388876047197375
3,0.8761664448991365,3.0007530292898235,0.5388008438347482,4.605591197061342
4,0.8812353786715661,2.9123030179377443,0.2570682910637122,6.5423795363518495
5,0.8702993546113817,2.9845954378383843,0.3042868701196403,7.547662237199055
6,0.8728841645782129,2.985124012768435,0.46308350137991827,6.102256519022341
7,0.8741088933277832,3.0289787146964486,0.39934789887162025,5.172836969835152
8,0.874737777695056,3.031658311686786,0.0019738144476590946,5.621089430129478
9,0.5598513335475191,5.442398243651552,0.18309749716212653,8.78059901949865
