latitude,longitude,Species richness
-42.61227087,171.5718187,38
54.08146366,156.2864045,28
46.63771485,10.24267789,6
-40.67893785,-72.16355892,17
-1.143527504,103.5655796,9
41.9752156,-7.873985873,9
60.89187924,86.688499,24
42.15438223,23.77392573,33
40.36063252,-7.653152576,24
42.00229893,24.53850894,17
54.4627136,-2.498986733,46
54.06688033,37.51350686,12
-40.67060451,-72.16980892,17
41.74396563,24.144759,29
41.95438227,-7.919819199,9
48.55021454,-58.43439445,31
56.46271328,33.92809077,37
68.08771142,19.83017636,26
-40.76852116,-72.29272557,17
42.59604883,23.28225914,5
53.80854704,16.58642688,38
67.86479479,19.36767643,16
47.59188136,8.77392813,8
47.59188136,8.77392813,7
42.1460489,23.78434239,41
41.71063231,23.50934244,26
48.77729784,16.6947602,18
67.44604485,86.71141566,21
54.14188032,-7.542735927,31
53.76271371,156.5572378,23
60.8897959,68.68850188,22
54.33354695,-2.984403322,52
17.63355282,-96.53230502,70
16.03771975,-96.4489717,10
45.40229838,-75.48647506,57
45.49396503,-74.80522516,54
18.27313606,-97.48647154,21
41.54813233,23.64059242,44
42.49813218,23.16559249,29
50.29813093,-63.69272694,46
-1.143527504,103.567663,5
67.48146152,86.4364157,4
53.76063038,156.5593212,17
47.5939647,8.767678131,6
-46.13310364,168.063486,35
46.73146484,-53.5198119,33
54.77729688,43.43850592,24
42.5877155,23.24684248,46
-0.643527585,-90.32605601,16
46.65021485,10.33226121,14
41.67729898,23.45517578,16
-1.143527504,103.567663,9
41.17521572,20.84059287,19
42.49604885,23.21559249,57
46.09396494,-92.1114724,39
57.44812979,-3.634403218,25
41.74396563,24.38225897,15
47.59188136,8.771844797,7
42.40646553,-8.373985793,19
14.33563669,-16.41148451,13
41.7481323,23.41142579,28
19.53355252,-101.5323042,58
18.29605272,-65.72397662,101
-2.856027231,13.83851065,41
59.8731294,12.30517756,40
55.26688014,40.2114231,11
56.86479655,82.85099961,52
54.76896355,43.18642262,16
47.5939647,8.765594798,5
-4.110193697,-79.18022446,33
47.5939647,8.765594798,5
44.15646525,-111.071886,22
-21.37269093,-174.9406258,45
46.25229825,-86.62397327,35
42.5814655,23.22184248,9
47.59188136,8.77392813,10
18.27105272,-97.48647154,18
42.15438223,23.39684246,56
52.93563051,-2.759403358,36
18.8314693,98.88849704,31
52.64396389,157.4489043,21
-5.781026763,145.0301563,60
42.12313224,23.48434244,28
53.6356304,-2.836486679,10
-3.522693791,28.96559157,31
48.77521451,16.69684353,18
43.610632,-82.83647388,37
54.35229695,16.96976015,11
36.56063313,-5.594819571,39
-1.235194157,103.6197463,11
43.11896541,23.12392583,50
-0.643527585,-90.32397268,9
15.55438649,-16.4427345,7
-17.44769156,-179.1572918,21
42.57313217,23.20517582,20
-6.787276601,106.9822457,52
-1.143527504,103.5697463,10
18.27105272,-97.48855487,31
-1.639360759,121.7072434,36
-21.21227429,-175.1531258,22
42.77938213,24.61767559,1
55.22521348,-77.69689137,40
-0.643527585,-90.32813935,24
52.91479718,-2.771903356,17
-40.66643785,-72.17189225,17
53.6356304,-2.838570012,13
-7.722693119,21.26350946,17
61.23562918,65.6280857,62
