latitude,longitude,Species richness
54.12104699,-2.296903432,45
59.8481294,12.28642757,49
42.41896553,-8.348985797,18
47.59188136,8.77392813,5
12.86897025,121.1343268,40
46.27521491,-86.64897327,36
42.41896553,-8.340652466,22
-1.143527504,103.5655796,13
-42.8289375,170.9384855,37
41.74396563,24.14684234,16
-0.643527585,-90.32813935,7
53.6356304,-2.842736678,15
55.22521348,-77.69689137,40
42.42313219,-8.338569132,21
42.5752155,23.25934248,26
42.5689655,23.3239258,26
-6.949776575,108.4343289,42
-46.13102031,169.5551524,24
31.12521733,115.2655778,24
61.3064625,-121.2989677,46
46.5522982,-86.10522336,31
41.69604897,23.48434244,39
-8.035193069,21.30309279,8
37.80021626,-25.20106643,25
67.44604485,86.71141566,37
41.85646562,24.163509,41
40.87104911,-3.765653198,2
42.5877155,23.25100915,34
42.24604889,23.47184244,28
42.57729883,23.20309249,33
47.5939647,8.767678131,6
53.33771378,-2.867736674,18
55.26688014,40.2114231,11
18.78355264,99.23641366,28
56.97104653,82.60308298,64
16.26480304,102.5926631,16
42.5877155,23.21350915,24
60.8897959,68.68850188,24
18.38771937,-97.48022154,21
-5.691443444,144.1884898,18
60.8897959,68.68850188,12
41.74396563,24.14684234,28
45.68563167,-74.04480862,48
9.383554144,-82.36564062,36
42.58563217,23.28434247,49
56.54812993,32.79684095,52
53.76479704,156.5593212,21
54.34604695,-2.096903464,46
58.87521289,26.24892533,27
53.79604704,-73.32605873,37
42.58354883,23.28017581,22
42.76896547,24.3718423,62
76.88771001,15.53851038,46
-1.143527504,103.5697463,10
67.86687812,19.17809313,23
53.33146378,46.82183871,26
49.12313112,-68.29272621,54
67.48146152,86.4364157,21
53.65021373,-77.72605803,43
42.57938217,23.26767581,40
54.35229695,16.96976015,11
-16.3581084,-68.11772623,59
47.59188136,8.77392813,7
45.96688162,-71.13855908,43
54.59813024,-84.64064026,28
-54.09976903,-69.34897604,18
-40.66018785,-72.16772559,17
15.55438649,-16.4427345,7
52.50438058,9.680177985,21
53.28771379,16.72184352,73
42.12313224,23.46975911,20
-1.143527504,103.567663,15
68.28354472,19.25100979,67
-54.75393559,-68.33439287,22
41.57729899,23.61767575,20
9.379387478,-82.36772395,19
-4.676860273,12.16767759,2
-1.143527504,103.567663,13
42.58563217,23.24684248,29
-3.981027051,-79.08439115,55
-0.643527585,-90.33230601,11
49.2543811,-123.1968841,42
47.22729809,7.048928406,16
-6.826859928,107.9655789,43
60.8897959,68.68850188,10
-1.143527504,103.567663,15
47.59188136,8.77392813,7
16.66688631,102.1134965,17
-46.30393695,168.4426526,39
64.75021195,24.70934225,52
58.41062963,-3.703153207,30
49.10021446,-68.21980955,46
-4.110193697,-79.18022446,50
43.11688208,23.1218425,32
42.68979882,2.234345843,11
-1.143527504,103.5655796,9
53.63354706,-2.834403346,18
54.70229689,-3.005236652,34
42.11688224,23.49267577,25
41.83771562,23.38850912,22
-0.643527585,-90.32813935,8
42.58354883,23.29267581,21
67.11687824,62.95100279,36
37.76271627,-25.42814973,21
52.91479718,-2.771903356,15
-0.643527585,-90.32188935,13
29.55855092,94.55933107,16
1.096055471,13.20101075,49
46.40438155,9.69059465,32
42.61063216,23.25934248,38
-1.23727749,103.6197463,16
-7.101859885,107.5114123,20
52.91479718,-2.771903356,19
52.70854721,45.8239222,26
55.62938008,159.5780707,10
-7.356026511,20.8489262,30
49.09604779,-68.24480955,33
53.36271377,46.58642208,26
18.27313606,-97.48855487,28
42.1335489,23.47809244,34
45.33563173,-73.21564209,21
47.42729806,-53.43856192,30
5.039804839,-52.55939539,8
-40.66643785,-72.17189225,17
60.8897959,68.68850188,16
53.6356304,-2.836486679,13
43.44813203,-80.35939094,19
59.8543794,12.30309423,39
58.28354632,-134.5218823,42
62.42937899,-150.7031297,33
69.82312781,27.17184185,35
42.57938217,23.26975914,41
41.87521561,24.163509,20
-43.25602077,170.2864023,34
38.86688276,-107.0406367,17
42.22938222,23.3489258,25
-4.114360363,-78.9677245,74
53.76063038,156.5530712,17
-0.643527585,-90.32188935,13
53.63354706,-2.834403346,17
47.59188136,8.77392813,6
41.74396563,24.144759,29
37.82313293,-25.74273301,20
52.93563051,-2.759403358,19
53.04188049,105.5593293,51
-0.643527585,-90.32605601,7
-0.714360907,-90.31355602,36
42.58563217,23.26767581,25
48.83979783,16.49684356,9
-1.143527504,103.567663,5
36.96063307,-107.6927199,22
-43.91018733,168.9801525,46
43.32938205,22.86142588,49
-0.643527585,-90.32397268,9
-6.776859937,106.9259958,20
-4.62686028,55.43642066,50
-7.339359847,146.7155727,22
55.26688014,40.21558977,15
-35.52060534,148.7697391,31
41.70646564,23.50725911,75
41.84396562,23.38434246,57
54.73563022,43.16142263,18
43.25229873,133.7072415,23
68.623128,-149.5802132,34
54.77729688,43.43433925,17
46.40021489,15.60517704,14
-13.91644213,-171.7802096,0
53.80438037,156.3947378,12
42.75229881,-8.807319057,16
52.93563051,-2.759403358,16
-40.76852116,-72.29272557,17
42.58354883,23.26975914,36
-1.143527504,103.567663,17
-6.770609937,106.9655791,16
68.35646138,18.81142652,36
43.49396535,-7.55940259,25
-40.67060451,-72.10939226,18
18.29605272,-65.72397662,101
52.53979724,45.36975561,35
42.49604885,23.21559249,57
-43.86227067,169.0655691,39
42.60438216,23.26767581,9
42.76688214,24.26142565,52
53.76063038,156.5593212,19
-1.143527504,103.5655796,20
41.7481323,23.41142579,29
52.71271388,-84.17397367,39
54.39813028,-2.97606999,46
54.24604697,-2.209403446,41
58.175213,38.21767342,17
-1.233110823,103.6197463,12
62.00437906,-150.0593798,24
54.14188032,-7.542735927,31
46.45646488,9.855177957,76
42.22938222,23.3489258,15
43.67729866,-7.973985857,31
-46.53518691,169.5551524,29
-0.645610918,-90.31772268,15
47.59188136,8.77392813,6
52.91479718,-2.771903356,21
-1.143527504,103.5655796,13
53.34813044,46.83642204,31
42.14396557,23.78434239,45
42.58563217,23.28642581,19
54.67521356,-84.5989736,39
18.27105272,-97.48855487,22
-0.660194249,-90.32813935,7
42.98354877,-8.848985718,7
51.48563074,27.98850839,69
4.996054847,-75.33230841,48
41.59188232,24.44475896,21
54.07938033,50.37183814,61
64.08354539,-17.16773439,66
54.4627136,-2.498986733,46
46.92729814,-92.79480562,37
33.06688369,35.58434051,23
40.08354923,-2.115653461,3
-45.79352036,167.5280694,26
41.03771575,-75.26564176,49
42.69604881,-8.932319037,17
69.38354454,91.55933155,63
42.20229889,23.31350914,32
42.61479883,23.22184248,20
37.79396627,-25.4135664,18
30.55230076,114.4114112,22
54.34188028,156.1030712,12
46.54813153,-86.05939003,56
68.35437804,19.04684315,27
36.56063313,-5.596902904,40
52.84396386,-83.92605704,46
41.9752156,-7.873985873,9
19.70021916,-101.6989709,35
-1.233110823,103.6197463,17
-42.8226875,171.0447355,30
41.87313228,25.12184218,4
41.37104903,23.18850916,1
42.82521546,-6.853152704,30
67.82521146,19.73225971,24
58.23354633,68.21766862,65
43.2314654,-80.05105766,25
53.6356304,-2.836486679,16
53.8064637,157.6239043,29
41.7481323,23.41142579,23
-1.143527504,103.5655796,17
53.76271371,156.5593212,20
-0.643527585,-90.32813935,6
52.93563051,-2.759403358,30
46.00438162,-89.59480613,47
46.56688153,6.173928546,1
